seal,condition,vocalization_i,duration
Ella,before,37,0.993072918613148
Sjef,after,74,1.1931543523111596
Sjef,before,40,1.5986024294218444
Ella,before,34,1.2232610530435497
Sjef,before,72,1.2008209583396579
Sjef,before,34,0.9221494167466185
Ella,after,22,1.1303089346110338
Ella,after,67,1.1135805268230399
Ella,after,20,0.8520189964936077
Sjef,after,89,1.1691979499974627
Sjef,before,59,1.1827670763309586
Ella,before,57,1.132294567675048
Ella,before,17,1.3392601049999402
Ella,after,8,1.11368886890777
Sjef,after,75,1.1213360131090062
Sjef,before,103,1.195017756156855
Ella,after,25,1.7064033701385979
Ella,after,75,1.3970155764079608
Sjef,before,14,1.1585697605149126
Ella,after,16,1.0111457313790968
Ella,after,63,1.1031535803894705
Ella,after,9,1.3339258644713672
Sjef,before,80,1.096230689998501
Ella,before,87,1.0319139213142179
Ella,after,32,0.9761623872356311
Sjef,after,22,1.2738156315625448
Sjef,after,17,1.1901212929539926
Sjef,after,12,1.115199947509423
Ella,after,13,0.890946741191429
Ella,after,80,0.9025541922414554
Sjef,before,97,1.0021193050516353
Ella,after,66,1.3227351845460151
Ella,before,94,0.9560333493455802
Sjef,before,95,1.091538450733469
Sjef,after,45,1.3339701164747366
Sjef,before,3,0.9702967065732083
Sjef,before,65,1.4525654799025156
Sjef,after,53,1.1871261227987473
Ella,before,68,1.1938896063103128
Ella,before,35,1.2413480286188168
Ella,before,23,1.178029448699489
Ella,after,72,1.1072225223750103
Ella,before,16,0.9906502859494571
Sjef,after,2,1.0316458622760767
Ella,after,65,1.125362536369967
Ella,after,17,0.8648166455910254
Sjef,after,23,0.9046843133278876
Sjef,before,102,1.303793818174637
Sjef,before,45,1.009958758518185
Ella,after,15,0.9287273952691206
Ella,before,13,1.2682183759194348
Ella,before,84,1.1843531942202563
Ella,before,83,1.190789523372554
Sjef,after,33,1.2381900943266924
Sjef,after,98,1.2135197673294082
Sjef,after,90,1.307431733355098
Sjef,after,91,0.937085983781094
Ella,after,59,0.8857623998285855
Sjef,after,27,1.4346039009205138
Ella,before,66,0.9221499441256447
Sjef,before,71,1.1704103787154274
Sjef,after,39,1.2187732976994023
Ella,after,68,1.0077690853947971
Ella,after,50,1.2283200453393999
Sjef,after,52,1.3097271160957564
Ella,before,58,1.2108516629767383
Ella,before,104,0.8393372577368942
Ella,after,45,0.8914859071167246
Sjef,before,17,1.165652726506092
Ella,before,51,1.056417290012395
