seal,condition,vocalization_i,duration
Chaplin,after,101,1.0480400925305073
Chaplin,before,97,0.9876350147735325
Chaplin,after,61,1.0697070384951544
Chaplin,after,9,1.037671081055642
Mojito,after,12,0.779075405015597
Mojito,before,69,0.549431582155862
Chaplin,before,68,0.9530677419454284
Mojito,before,54,0.8233900337817462
Chaplin,before,71,0.8026750688494014
Mojito,before,50,0.6552865213549699
Chaplin,after,37,0.9913422257461268
Chaplin,after,92,1.258575776965803
Chaplin,after,33,0.76721868676343
Mojito,after,63,0.7706659345992793
Chaplin,before,41,0.767111569999859
Chaplin,before,15,1.1117426811321465
Mojito,before,20,0.9030173487019947
Mojito,before,66,0.8812011818547673
Mojito,before,88,0.8308465763673429
Chaplin,after,75,0.9407750765087249
Chaplin,after,29,0.8268064268693208
Chaplin,after,32,0.8598537646345125
Chaplin,before,102,0.6491394522988932
Mojito,after,27,0.8576891512554402
Chaplin,before,96,0.9779420282322387
Chaplin,before,36,0.8556352870985827
Chaplin,before,17,1.4026916321764311
Chaplin,before,50,1.6162673149100655
Chaplin,before,16,0.7620952386033364
Mojito,before,47,0.9059640240471496
Chaplin,after,54,1.2082421828183834
Mojito,after,57,1.0759518138150674
Mojito,after,19,0.7494236296926751
Mojito,before,76,0.723775268455483
Chaplin,before,74,0.9103486195615574
Mojito,after,33,0.9189752112856715
Mojito,before,73,0.7608853427250287
Mojito,before,57,0.5797152493430423
Mojito,before,81,0.8497348433886998
Chaplin,before,70,1.1027196445832126
Mojito,before,84,0.7144026242774034
Chaplin,after,26,0.9554684039487277
Chaplin,before,61,0.7650064280503963
Mojito,before,80,0.7778633399037294
Chaplin,after,64,1.0380392950912016
Chaplin,before,5,0.8418678432498753
Mojito,after,6,0.6916821869796921
Chaplin,after,73,1.100141584270338
Chaplin,after,89,1.1620181812182568
Mojito,before,68,0.7721662368605461
Mojito,after,81,0.813205241306895
Mojito,before,5,0.6886236430247209
Chaplin,after,6,1.3673130127975512
Chaplin,before,44,1.053149202125948
Chaplin,after,59,0.9497116643863545
Mojito,after,54,0.7453792309331834
Chaplin,before,62,1.1040449388646127
Chaplin,before,13,1.3097739713124266
Chaplin,after,60,0.8424625393050003
Chaplin,before,57,1.1044200747259667
Mojito,after,46,0.6197245047450006
Chaplin,before,31,1.0489016520294312
Chaplin,before,38,1.2729418109119028
Mojito,after,16,1.0843000757784436
Chaplin,before,42,0.756128949443684
Mojito,after,53,1.0145578133583337
Mojito,before,0,0.8055978879207927
Mojito,after,58,0.8877517473045884
Mojito,before,79,1.061882925355192
Mojito,before,27,0.7494015990963218
Mojito,before,22,1.0463443706147468
Chaplin,after,80,1.002837814216398
Mojito,before,87,0.6320548800303466
Chaplin,before,86,1.2476840177657473
Mojito,before,33,0.8784192728512472
Mojito,before,1,0.8753385397452829
Mojito,after,68,0.8419887660729762
Mojito,before,8,0.9410637572728878
Mojito,before,60,0.6308274836240071
Mojito,after,10,0.9312327665969059
Mojito,before,26,0.9059556379266254
Mojito,after,9,0.7241033151174995
Chaplin,before,69,0.8106930074620327
Mojito,before,51,0.7994952533752757
Chaplin,after,5,0.8067845971598427
Chaplin,before,37,1.135757590605079
Chaplin,before,34,1.2659366534108105
Mojito,before,24,0.9345456146639346
Chaplin,after,36,0.7002444210370894
Chaplin,after,3,1.1588575052614998
Chaplin,before,45,1.3109615762661604
Chaplin,after,74,1.0283844748033488
Mojito,after,29,0.9917804775977568
Mojito,after,37,0.8560656245419554
Mojito,after,5,0.7471838185668925
Mojito,after,3,0.8643718087768409
Chaplin,after,63,1.0566127148656148
Chaplin,after,90,1.2704236311596024
Chaplin,before,59,0.8638424447433886
Mojito,after,21,0.7789468419582211
Mojito,after,49,0.685986689037725
Mojito,before,70,0.6891360044031025
Chaplin,before,54,1.1333778584071763
Chaplin,after,52,0.695157312187124
Chaplin,before,33,1.11095854816067
Chaplin,after,97,0.7579446970536385
Mojito,after,74,0.637392422704006
Chaplin,after,23,0.8426381629859048
Mojito,before,75,0.9071722558923099
Mojito,after,78,1.13793585273688
Mojito,before,39,0.8052008143964547
Chaplin,after,62,1.0870451392853007
Chaplin,before,80,0.6530001993119803
Mojito,before,74,0.67009373666437
Chaplin,before,101,0.9914747359021187
Mojito,after,13,0.8822970662488295
Mojito,after,62,0.9699085477691171
Mojito,before,52,1.089345418626959
Mojito,after,77,0.7109749651767812
Chaplin,after,94,1.389329861658577
Chaplin,after,72,1.3214451903204885
Mojito,after,43,0.5227450209177051
Chaplin,after,48,0.9539830445585452
Mojito,after,61,0.6529618883224719
Chaplin,after,15,1.1104161790537095
Mojito,before,42,0.8481350569055892
Chaplin,before,100,1.331896494551017
Mojito,before,36,0.7577073557287063
Chaplin,before,65,1.023559360008492
Chaplin,before,14,0.8912503422930184
Chaplin,before,0,1.228681349238806
Chaplin,after,76,0.9076745594771948
Chaplin,after,0,0.7669946800261862
Mojito,before,9,0.8107048052250146
Chaplin,before,49,0.9930985545645292
Mojito,before,46,0.5899894105321769
Chaplin,before,67,0.8163566051563346
Chaplin,before,46,1.0256071923158023
Mojito,after,47,0.8214589632401259
Chaplin,before,92,0.9610001255849415
Mojito,before,63,0.6924116292051993
Chaplin,after,21,0.7328678162664447
Mojito,after,80,0.9391132106982882
Chaplin,before,51,0.7512533666371254
Mojito,before,93,0.8985535936300131
Mojito,after,4,0.865850015674897
Chaplin,before,24,0.9588536089296593
Chaplin,before,56,1.054307744166188
Mojito,before,18,0.7182421951645273
Mojito,after,42,0.9763702672735991
Mojito,before,72,0.5250576587883995
Chaplin,after,85,1.057333553176733
Mojito,before,90,0.8390235579953073
Mojito,after,72,0.7595874386694043
Mojito,after,24,0.6215138675684821
Chaplin,before,2,1.1845181140548462
Mojito,before,31,0.8876553927231902
Chaplin,before,63,1.0689938656223417
Mojito,after,7,1.1520164950312661
Chaplin,before,7,0.7229154269380268
Chaplin,after,57,0.7312059442475675
Chaplin,after,35,1.1539933813412988
Mojito,before,15,1.0113509746338147
Mojito,after,23,0.9312869427033532
Chaplin,before,82,1.582307144547656
Chaplin,before,98,0.9386190115379345
Chaplin,before,48,0.9871290922221454
Chaplin,after,55,0.7973196885193118
Chaplin,before,21,1.4264006150146027
Chaplin,after,16,1.0737598884884392
Chaplin,before,39,1.0375453723719124
Mojito,before,30,0.7062119488861118
Chaplin,before,79,1.1453520357857898
Chaplin,before,78,0.9826750793603258
Chaplin,after,40,0.9832384377107739
Mojito,after,32,0.6425868424069286
Mojito,before,23,0.7454002925412435
Mojito,after,75,0.9815857386046042
Chaplin,after,93,0.5947618920751774
Chaplin,before,72,1.1992482538886262
Chaplin,before,93,0.6777692850622317
Mojito,before,92,0.7873156550606105
Chaplin,before,20,1.698363318479384
Mojito,before,86,0.7996155745974024
Mojito,before,96,0.9171930612496441
Chaplin,before,77,1.1045025699158781
